Trap,Position,Microspheres
T1,2,1
T14,2,2
T15,4,1
T16,2,1
T19,2,1
T19,3,2
T19,4,3
T21,2,1
T21,5,1
T25,2,1
T25,5,1
T31,2,1
T32,2,1
