Trap,Position,Microspheres
T2,4,1
T20,4,1
T20,5,1
T26,2,3
T26,3,1
T27,2,2
T27,5,2
T28,3,1
T28,4,1
T32,3,2
T32,4,1
T33,2,2
T33,3,4
T33,4,1
T34,4,1
T38,3,1
T39,2,1
