Trap,Position,Microspheres
T2,2,1
T4,2,1
T7,3,1
T8,3,2
T8,4,3
T9,2,1
T9,3,2
T10,2,1
T10,4,3
T10,5,1
T11,2,1
T11,3,2
T11,4,2
T12,2,1
T12,3,1
T12,5,1
T14,3,1
T14,4,2
T14,5,1
T15,3,1
T16,2,4
T16,4,1
T16,5,1
T17,2,1
T18,3,3
T18,4,3
T19,4,1
T20,2,2
T20,4,1
T21,2,2
T21,4,3
T22,2,3
T23,5,1
T24,3,1
T25,2,1
T25,4,1
T26,2,1
T26,3,1
T27,2,1
T27,4,1
T29,4,1
T30,3,1
T32,3,1
T32,5,1
T34,2,1
T34,5,1
T35,2,1
T35,3,2
T35,4,2
T37,3,1
T37,4,1
T37,5,1
T41,3,1
