Trap,Position,Microspheres
T3,2,1
T9,2,1
T9,3,2
T9,5,1
T15,2,1
T15,3,1
T15,4,1
T19,2,3
T19,4,1
T20,2,1
T20,3,2
T20,5,1
T21,2,1
T21,3,1
T21,4,1
T21,5,1
T22,5,1
T23,2,3
T23,3,4
T23,4,2
T25,3,4
T25,4,1
T27,2,1
T28,2,1
T28,3,1
T28,4,1
T32,4,1
T38,2,1
T38,3,1
