Trap,Position,Microspheres
T1,2,2
T4,2,1
T6,2,4
T6,3,1
T9,4,1
T10,2,1
T12,3,1
T13,2,1
T14,3,1
T15,4,1
T16,2,1
T20,5,1
T21,4,1
T21,5,1
T25,2,2
T25,4,2
T26,5,1
T27,2,2
T27,3,1
T27,4,2
T28,2,1
T28,4,1
T29,2,6
T29,3,6
T29,4,4
T30,2,3
T30,3,7
T30,4,10
T30,5,5
T31,2,2
T31,3,2
T31,4,3
T32,4,2
T33,3,2
T34,2,1
T34,3,1
T34,4,1
T35,2,6
T35,3,6
T35,4,5
T35,5,1
T36,3,4
T36,5,3
T37,2,1
T37,3,1
T38,2,1
T39,2,1
T39,3,1
T40,2,1
T41,3,2
T42,3,2
