Trap,Position,Microspheres
T2,3,1
T3,5,1
T4,4,1
T9,5,1
T13,4,1
T14,2,1
T16,2,1
T16,4,1
T17,3,1
T17,4,2
T18,2,2
T18,3,2
T19,4,1
T20,2,2
T20,3,1
T21,2,1
T21,3,1
T21,4,1
T22,3,2
T24,5,1
T27,2,2
T27,3,1
T27,4,1
T28,4,1
T29,2,2
T29,3,3
T30,2,2
T31,5,1
T33,3,2
T34,5,1
T35,3,1
T36,5,1
T38,2,1
T38,5,1
T40,3,1
