Trap,Position,Microspheres
T1,3,2
T1,4,1
T3,3,1
T3,4,1
T4,2,1
T4,3,2
T4,4,1
T6,2,4
T6,3,5
T6,4,5
T8,2,1
T8,3,3
T8,4,1
T8,5,1
T9,2,1
T9,5,2
T10,5,1
T11,3,1
T11,4,1
T12,2,2
T12,3,1
T12,4,2
T17,3,1
T17,4,1
T17,5,2
T18,3,1
T18,4,1
T19,2,1
T20,2,1
T23,3,1
T30,3,1
T33,2,1
T33,3,1
T42,5,1
